ID,URL,Handle,BLM,Juneteenth,Money,Company Leader Statement
1270770201043382273,https://twitter.com/Microsoft/status/1270770201043382273,Microsoft,False,False,False,False
1269033729101631489,https://twitter.com/Microsoft/status/1269033729101631489,Microsoft,False,False,False,False
1268960228529373196,https://twitter.com/Microsoft/status/1268960228529373196,Microsoft,False,False,False,False
1268709123148955650,https://twitter.com/Microsoft/status/1268709123148955650,Microsoft,False,False,False,False
1268671373930647552,https://twitter.com/Microsoft/status/1268671373930647552,Microsoft,False,False,False,False
1268574990196228097,https://twitter.com/Microsoft/status/1268574990196228097,Microsoft,False,False,False,False
1268308985624457216,https://twitter.com/Microsoft/status/1268308985624457216,Microsoft,False,False,False,False
1268256893300027393,https://twitter.com/Microsoft/status/1268256893300027393,Microsoft,False,False,False,False
1268222164139941893,https://twitter.com/Microsoft/status/1268222164139941893,Microsoft,False,False,False,False
1267492314584236032,https://twitter.com/satyanadella/status/1267492314584236032,satyanadella,False,False,False,True
1267965473263673346,https://twitter.com/Microsoft/status/1267965473263673346,Microsoft,False,False,False,False
1267916418667945989,https://twitter.com/Microsoft/status/1267916418667945989,Microsoft,False,False,False,False
1267837126881808388,https://twitter.com/Microsoft/status/1267837126881808388,Microsoft,False,False,False,False
1267833466688659456,https://twitter.com/Microsoft/status/1267833466688659456,Microsoft,False,False,False,False
1267580435313446918,https://twitter.com/Microsoft/status/1267580435313446918,Microsoft,False,False,False,False
1267538911888367618,https://twitter.com/Microsoft/status/1267538911888367618,Microsoft,False,False,False,False
1267491927110438912,https://twitter.com/Microsoft/status/1267491927110438912,Microsoft,False,False,False,False
1266801914823360512,https://twitter.com/Microsoft/status/1266801914823360512,Microsoft,False,False,False,False
1266090415234494465,https://twitter.com/BradSmi/status/1266090415234494465,BradSmi,False,False,False,True
1273974563882352640,https://twitter.com/MarathonPetroCo/status/1273974563882352640,MarathonPetroCo,False,True,False,False
1268916041935192065,https://twitter.com/kroger/status/1268916041935192065,kroger,False,False,True,True
1271516803756425218,https://twitter.com/kroger/status/1271516803756425218,kroger,True,False,True,False
1269043196753063937,https://twitter.com/kroger/status/1269043196753063937,kroger,False,False,True,False
1271128790140424199,https://twitter.com/FannieMae/status/1271128790140424199,FannieMae,False,False,False,True
1273710535977172992,https://twitter.com/FannieMae/status/1273710535977172992,FannieMae,False,True,False,False
1283060033811558400,https://twitter.com/blackinfonet/status/1283060033811558400,blackinfonet,False,False,False,False
1278014661460471810,https://twitter.com/BofA_News/status/1278014661460471810,BofA_News,False,False,False,False
1273989906008850433,https://twitter.com/BofA_News/status/1273989906008850433,BofA_News,False,True,False,False
1273647238363836417,https://twitter.com/BankofAmerica/status/1273647238363836417,BankofAmerica,False,False,False,False
1267788917660516354,https://twitter.com/BofA_News/status/1267788917660516354,BofA_News,False,False,True,True
1266539993205338112,https://twitter.com/BofA_News/status/1266539993205338112,BofA_News,False,False,False,False
1267598182504161285,https://twitter.com/HomeDepot/status/1267598182504161285,HomeDepot,False,False,True,True
1269996893544894465,https://twitter.com/comcast/status/1269996893544894465,comcast,False,False,True,False
1273989195426680832,https://twitter.com/AnthemBCBS/status/1273989195426680832,AnthemBCBS,False,True,True,False
1269993872672817153,https://twitter.com/AnthemInc/status/1269993872672817153,AnthemInc,False,False,True,True
1267470605835800577,https://twitter.com/AnthemInc/status/1267470605835800577,AnthemInc,False,False,False,True
1274076899761889280,https://twitter.com/WellsFargo/status/1274076899761889280,WellsFargo,False,True,False,True
1274021594759860224,https://twitter.com/WellsFargo/status/1274021594759860224,WellsFargo,True,False,True,True
1267849062713372676,https://twitter.com/WellsFargo/status/1267849062713372676,WellsFargo,False,False,False,True
1283461398346043392,https://twitter.com/Citi/status/1283461398346043392,Citi,False,False,False,False
1277965117531942912,https://twitter.com/Citi/status/1277965117531942912,Citi,False,False,True,False
1277663130978603009,https://twitter.com/Citi/status/1277663130978603009,Citi,False,False,True,False
1277704648183500801,https://twitter.com/Citi/status/1277704648183500801,Citi,False,False,True,False
1277650541439565829,https://twitter.com/Citi/status/1277650541439565829,Citi,False,False,True,True
1276546712841203714,https://twitter.com/PRWeekUS/status/1276546712841203714,PRWeekUS,False,False,False,True
1276613708433809409,https://twitter.com/Citi/status/1276613708433809409,Citi,False,False,False,False
1276594831809183746,https://twitter.com/Citi/status/1276594831809183746,Citi,False,False,False,False
1275550549379813379,https://twitter.com/BrianKReaves/status/1275550549379813379,BrianKReaves,True,True,True,True
1267551457412370432,https://twitter.com/MichaelDell/status/1267551457412370432,MichaelDell,False,False,False,True
