Corporation,URL,Rank,Handle,Sector
Coca-Cola,https://twitter.com/CocaCola,88,CocaCola,Food Beverages & Tobacco
Massachusetts Mutual Life Insurance,https://twitter.com/massmutual,89,massmutual,Financials
Tech Data,https://twitter.com/Tech_Data,90,Tech_Data,Wholesalers
World Fuel Services,,91,,Energy
Honeywell International,https://twitter.com/honeywell,92,honeywell,Industrials
ConocoPhillips,https://twitter.com/conocophillips,93,conocophillips,Energy
USAA,https://twitter.com/USAA,94,USAA,Financials
Exelon,https://twitter.com/Exelon,95,Exelon,Energy
Northrop Grumman,https://twitter.com/northropgrumman,96,northropgrumman,Aerospace & Defense
Capital One Financial,https://twitter.com/CapitalOne,97,CapitalOne,Financials
Plains GP Holdings,,98,,Energy
AbbVie,https://twitter.com/abbvie,99,abbvie,Health Care
StoneX,https://twitter.com/StoneX_Official,100,StoneX_Official,Financials
